Course Name,Partner,Difficulty Level
"Real Estate Property Management","Coursera Instructor Network","BEGINNER"
"Agentic AI and AI Agents: A Primer for Leaders","Vanderbilt University","BEGINNER"
"Introduction to Responsible AI","Google Cloud","BEGINNER"
"Microsoft Azure AI Fundamentals AI-900 Exam Prep","Microsoft","BEGINNER"
"Social Work Practice: Advocating Social Justice and Change","University of Michigan","BEGINNER"
"Statistics with Python","University of Michigan","BEGINNER"
"GIS, Mapping, and Spatial Analysis","University of Toronto","BEGINNER"
"Understanding child development: from synapse to society","Utrecht University","BEGINNER"
"Gen AI: Navigate the Landscape","Google Cloud","BEGINNER"
"Newborn Baby Care","University of Colorado System","BEGINNER"
"Healthy and Sustainable Foods and Products","University of Michigan","INTERMEDIATE"
"Generative AI for Healthcare","Google Cloud","INTERMEDIATE"
"Xbox Graphic Designer","Xbox","BEGINNER"
"Risk Management Professional (PMI-RMP®) Certification Course","LearnKartS","INTERMEDIATE"
"Python, SQL, Tableau for Data Science","Coursera","BEGINNER"
"IELTS Preparation","University of California, Irvine","BEGINNER"
"Dog Emotion and Cognition","Duke University","MIXED"
"SAP Professional Fundamentals","SAP","BEGINNER"
"Data Analysis and Visualization with Power BI","Microsoft","BEGINNER"
"Home-Based Child Care","The State University of New York","BEGINNER"
"Uncommon Sense Teaching","Deep Teaching Solutions","BEGINNER"
"Certified Associate in Project Management (CAPM)","Packt","INTERMEDIATE"
"IBM Mainframe Developer","IBM","INTERMEDIATE"
"Computational Social Science","University of California, Davis","BEGINNER"
"Organizational Change and Culture for Adopting Google Cloud","Google Cloud","BEGINNER"
"Medical Terminology I","Rice University","BEGINNER"
"Robotic Process Automation (RPA)","UiPath","BEGINNER"
"Microsoft Copilot: Your Everyday AI Companion","Microsoft","BEGINNER"
"Software Product Management","University of Alberta","BEGINNER"
"PwC GST Taxation Executive","PwC India","BEGINNER"
"Satisfaction Guaranteed: Develop Customer Loyalty Online","Google","BEGINNER"
"Object Oriented Programming in Java","Duke University","BEGINNER"
"The Fundamentals of Personal Finance","SoFi","BEGINNER"
"Artificial Intelligence (AI) Education for Teachers","Macquarie University","BEGINNER"
"U.S. Federal Taxation","University of Illinois Urbana-Champaign","INTERMEDIATE"
"What is Compliance?","University of Pennsylvania","MIXED"
"Healthcare IT Support","Johns Hopkins University","BEGINNER"
"Business Analysis Fundamentals","Microsoft","BEGINNER"
"Emotional Intelligence: Cultivating Immensely Human Interactions","University of Michigan","INTERMEDIATE"
"Project Management Essentials","Howard University","BEGINNER"
"Python Programming Fundamentals","Microsoft","BEGINNER"
"Supply Chain Logistics","Rutgers the State University of New Jersey","BEGINNER"
"FinTech: Foundations, Payments, and Regulations","University of Pennsylvania","BEGINNER"
"Generative AI in Business","University of Michigan","BEGINNER"
"Design a User Experience for Social Good & Prepare for Jobs","Google","BEGINNER"
"Bugs 101: Insect-Human Interactions","University of Alberta","BEGINNER"
"AWS Generative AI for Developers","Amazon Web Services","INTERMEDIATE"
"TensorFlow: Data and Deployment","DeepLearning.AI","INTERMEDIATE"
"Auditing I: Conceptual Foundations of Auditing","University of Illinois Urbana-Champaign","INTERMEDIATE"
"Nuts and Bolts of U.S. Immigration Law","University of Pennsylvania","INTERMEDIATE"
"Site Reliability Engineering: Measuring and Managing Reliability","Google Cloud","INTERMEDIATE"
"Principles of Sustainable Finance ","Erasmus University Rotterdam","INTERMEDIATE"
"Business Analytics","University of Illinois Urbana-Champaign","BEGINNER"
"ChatGPT Advanced Data Analysis","Vanderbilt University","BEGINNER"
"AI for Cybersecurity","Johns Hopkins University","INTERMEDIATE"
"Linear Circuits 1: DC Analysis","Georgia Institute of Technology","MIXED"
"Introduction to Artificial Intelligence","University of Illinois Urbana-Champaign","BEGINNER"
"International Security Management","Erasmus University Rotterdam","BEGINNER"
"Using Python to Interact with the Operating System","Google","BEGINNER"
"More Introduction to Financial Accounting","University of Pennsylvania","MIXED"
"International Law in Action: A Guide to the International Courts and Tribunals in The Hague","Universiteit Leiden","MIXED"
"Learn English: Advanced Grammar and Punctuation","University of California, Irvine","ADVANCED"
"Marketing Strategy","IE Business School","BEGINNER"
"Blockchain Revolution","INSEAD","BEGINNER"
"University Teaching","The University of Hong Kong","BEGINNER"
"Accounting: Principles of Financial Accounting","IESE Business School","BEGINNER"
"Palo Alto Networks Cybersecurity","Palo Alto Networks","BEGINNER"
"Gen AI Agents: Transform Your Organization","Google Cloud","BEGINNER"
"Foundations of Data Structures and Algorithms","University of Colorado Boulder","ADVANCED"
"Human Resources Management and GenAI","Coursera Instructor Network","BEGINNER"
"Artful Practices for Well-Being","The Museum of Modern Art","BEGINNER"
"A Story of Economics: A Principles Tale","Rice University","BEGINNER"
"Responsible AI: Applying AI Principles with Google Cloud","Google Cloud","BEGINNER"
"Cybersecurity Attack and Defense Fundamentals","EC-Council","BEGINNER"
" Develop Generative AI Applications: Get Started","IBM","INTERMEDIATE"
"Gen AI Apps: Transform Your Work","Google Cloud","BEGINNER"
"Managerial Economics and Business Analysis","University of Illinois Urbana-Champaign","BEGINNER"
"Microsoft Azure Security Engineer Associate (AZ-500)","Microsoft","INTERMEDIATE"
"Entrepreneurship: Launching an Innovative Business","University of Maryland, College Park","BEGINNER"
"AI for Lawyers and Other Advocates","University of Michigan","BEGINNER"
"Linear Algebra from Elementary to Advanced","Johns Hopkins University","BEGINNER"
"Extract, Transform and Load Data in Power BI","Microsoft","BEGINNER"
"Cryptocurrency and Blockchain: An Introduction to Digital Currencies","University of Pennsylvania","MIXED"
"Digital Marketing","Illinois Tech","ADVANCED"
"Fundamentals of GIS","University of California, Davis","BEGINNER"
"Comprendre la France, Advanced French Language & Culture ","École Polytechnique","ADVANCED"
"Fundamentals of Immunology","Rice University","INTERMEDIATE"
"Foundations of Business Strategy","University of Virginia","BEGINNER"
"Introduction to Machine Learning: Supervised Learning","University of Colorado Boulder","INTERMEDIATE"
"Introduction to Environmental Science","Dartmouth College","BEGINNER"
"Investment and Portfolio Management","Rice University","BEGINNER"
"Industrial Psychology","Illinois Tech","BEGINNER"
"Sales Training for High Performing Teams","HubSpot Academy","BEGINNER"
"Advanced Digital Transformation","IIMA - IIM Ahmedabad","BEGINNER"
"Petroleum Engineering with AI Applications","L&T EduTech","ADVANCED"
"Introduction to Computer Vision and Image Processing","IBM","BEGINNER"
"Pricing Options with Mathematical Models","Caltech","INTERMEDIATE"
"Introduction to User Experience Design ","Georgia Institute of Technology","BEGINNER"
"Entrepreneurship Strategy: From Ideation to Exit","HEC Paris","BEGINNER"
"Unilever Digital Marketing Analyst","Unilever","BEGINNER"
"Problem Solving with Excel ","PwC","BEGINNER"
"An Introduction to Learning Experience Design (LXD)","University of Michigan","BEGINNER"
"The Intersection of Finance, Strategy, and Sustainability","Saïd Business School, University of Oxford","BEGINNER"
"Introduction to Thermodynamics: Transferring Energy from Here to There","University of Michigan","BEGINNER"
"The Payroll Professional","Automatic Data Processing, Inc. (ADP)","BEGINNER"
"Using Python to Access Web Data","University of Michigan","BEGINNER"
"Project Management and Planning","Johns Hopkins University","INTERMEDIATE"
"The Path to Insights: Data Models and Pipelines","Google","ADVANCED"
"ChatGPT - Usos y Estrategias","Tecnológico de Monterrey","BEGINNER"
"Image Processing for Engineering and Science","MathWorks","BEGINNER"
"Healing with the Arts","University of Florida","MIXED"
"Leverage Data Science for a More Agile Supply Chain","University of California, Irvine","INTERMEDIATE"
"How Things Work: An Introduction to Physics","University of Virginia","INTERMEDIATE"
"Digital Health","Imperial College London","INTERMEDIATE"
"Data-driven Decision Making","PwC","BEGINNER"
"Teach English Now! Theories of Second Language Acquisition","Arizona State University","MIXED"
"Impact Measurement & Management for the SDGs","Duke University","MIXED"
"Artificial Intelligence: Ethics & Societal Challenges","Lund University","BEGINNER"
"Foundations of Global Health","Johns Hopkins University","BEGINNER"
"AI Agents and Agentic AI with Python & Generative AI","Vanderbilt University","BEGINNER"
"Programming with JavaScript","Meta","BEGINNER"
"Réussir le Changement","ESSEC Business School","MIXED"
"Cybersecurity Operations Fundamentals","Cisco Learning and Certifications","BEGINNER"
"Power BI for Beginners: Build your First Report","Coursera Project Network","BEGINNER"
"Microsoft Data Visualization","Microsoft","BEGINNER"
"Online Marketing: Social Media, Ads & E-commerce Certificate","SkillUp","BEGINNER"
"Managing Cybersecurity","Kennesaw State University","BEGINNER"
"Digital Signal Processing","École Polytechnique Fédérale de Lausanne","INTERMEDIATE"
"Addiction Treatment: Clinical Skills for Healthcare Providers","Yale University","BEGINNER"
"Team Software Engineering with AI","DeepLearning.AI","BEGINNER"
"The Art of Storytelling","IESE Business School","BEGINNER"
"Advertising with Meta","Meta","BEGINNER"
"Understanding Plants - Part I: What a Plant Knows","Tel Aviv University","BEGINNER"
"English for Common Interactions in the Workplace: Basic Level","Pontificia Universidad Católica de Chile","MIXED"
"Real-World Product Management","Advancing Women in Tech","BEGINNER"
"American Contract Law I","Yale University","BEGINNER"
"Introduction to Logic and Critical Thinking","Duke University","BEGINNER"
"Introduction to Comparative Indo-European Linguistics","Universiteit Leiden","INTERMEDIATE"
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms","Stanford University","INTERMEDIATE"
"BigQuery for Data Analysts","Google Cloud","INTERMEDIATE"
"Machine Design Part I","Georgia Institute of Technology","INTERMEDIATE"
"Taxation of Multinationals for Everyone","Universiteit Leiden","BEGINNER"
"Gestión de Proyectos","Tecnológico de Monterrey","BEGINNER"
"Advanced Machine Learning on Google Cloud","Google Cloud","ADVANCED"
"Blueprint to Brilliance Through Interior Design","Coursera Instructor Network","BEGINNER"
"Competitive Strategy and Organization Design","Ludwig-Maximilians-Universität München (LMU)","INTERMEDIATE"
"Fundamentals of Flight mechanics","ISAE-SUPAERO","BEGINNER"
"TOEFL Preparation","University of California, Irvine","BEGINNER"
"International Law In Action: Investigating and Prosecuting International Crimes","Universiteit Leiden","MIXED"
"Développement psychologique de l'enfant","University of Geneva","BEGINNER"
"A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650) ","Yale University","BEGINNER"
"Implant Dentistry","The University of Hong Kong","MIXED"
"Arabic for Beginners","Khalifa University","BEGINNER"
"Payroll and Tax Fundamentals","Automatic Data Processing, Inc. (ADP)","BEGINNER"
"Blockchain Revolution in Financial Services","INSEAD","BEGINNER"
"Go Beyond the Numbers: Translate Data into Insights","Google","ADVANCED"
"Entrepreneurship 1: Developing the Opportunity","University of Pennsylvania","MIXED"
"Fullstack Development","Scrimba","BEGINNER"
"Foundations of Data Science: K-Means Clustering in Python","University of London","BEGINNER"
"Customer Relationship Management","Starweaver","BEGINNER"
"How to Sell: An Overview of Fundamental Selling Techniques","Coursera Instructor Network","BEGINNER"
"English Intermediate B1","Università di Napoli Federico II","INTERMEDIATE"
"Teach English Now! Lesson Design and Assessment","Arizona State University","MIXED"
"Schizophrenia","Wesleyan University","INTERMEDIATE"
"How to Play Guitar","Berklee","BEGINNER"
"Immunology: The Immune System and its Failures","Imperial College London","INTERMEDIATE"
"Antibiotic Stewardship ","Stanford University","ADVANCED"
"Neuromarketing","Johns Hopkins University","INTERMEDIATE"
"Inteligencia Artificial y Futuro del Trabajo","Universidad de Palermo","BEGINNER"
"Introduction to Financial Accounting: The Accounting Cycle","University of California, Irvine","BEGINNER"
"Google Cloud Fundamentals: Core Infrastructure","Google Cloud","BEGINNER"
"Introduction to Microsoft Azure Cloud Services","Microsoft","BEGINNER"
"Software Development Lifecycle","University of Minnesota","INTERMEDIATE"
"Business Management Essentials","Illinois Tech","INTERMEDIATE"
"Learning to Teach Online","UNSW Sydney (The University of New South Wales)","BEGINNER"
"Planning & Control with Oracle Primavera PPM Professional","Packt","BEGINNER"
"Managing Your Health: The Role of Physical Therapy and Exercise","University of Toronto","BEGINNER"
"AI for Marketing","Emory University","BEGINNER"
"Applied Computational Fluid Dynamics","Siemens","INTERMEDIATE"
"Building AI Cloud Apps with Microsoft Azure","Microsoft","INTERMEDIATE"
"Creative Thinking: Techniques and Tools for Success","Imperial College London","BEGINNER"
"Advanced Digital Marketing","University of Maryland, College Park","INTERMEDIATE"
"A life with ADHD","University of Geneva","BEGINNER"
"Excel Skills for Business: Intermediate II","Macquarie University","INTERMEDIATE"
"Fundamentals of Reinforcement Learning","University of Alberta","INTERMEDIATE"
"International Leadership and Organizational Behavior","Università Bocconi","MIXED"
"ITIL V4 Certification Preparation","EDUCBA","BEGINNER"
"Data Science Methodology","IBM","BEGINNER"
"Enterprise Data Integration, Governance and Architecture","SkillUp","ADVANCED"
"English Advanced C1","Università di Napoli Federico II","ADVANCED"
"Work Smarter with Microsoft PowerPoint","Microsoft","BEGINNER"
"English Composition I","Duke University","BEGINNER"
"Developing Mobile Apps with Flutter","IBM","BEGINNER"
"MBE Mastering Business Essentials","Emory University","BEGINNER"
"Reducing Gun Violence in America: Evidence for Change","Johns Hopkins University","BEGINNER"
"Introduction to Environmental Law and Policy","The University of North Carolina at Chapel Hill","MIXED"
"Weight Management: Beyond Balancing Calories","Emory University","BEGINNER"
"The Horse Course: Introduction to Basic Care and Management","University of Florida","MIXED"
"International migrations: a global issue","Sciences Po","BEGINNER"
"European Business Law","Lund University","BEGINNER"
"Finding Purpose and Meaning In Life: Living for What Matters Most","University of Michigan","BEGINNER"
"Speak English Professionally: In Person, Online & On the Phone","Georgia Institute of Technology","MIXED"
"AI-powered Customer Intelligence with Microsoft Copilot","Microsoft","BEGINNER"
"WordPress 101 - The Complete Guide","Packt","BEGINNER"
"Creative Thinking Tools for Success and Leadership","Imperial College London","BEGINNER"
"Microsoft Azure Fundamentals AZ-900 Exam Prep","Microsoft","BEGINNER"
"Introduction to Public Relations and the Media","University of Colorado Boulder","BEGINNER"
"Supply Chain Principles","Georgia Institute of Technology","MIXED"
"Managerial Accounting Fundamentals","University of Virginia","BEGINNER"
"Programming with Google Go","University of California, Irvine","INTERMEDIATE"
"Computational Thinking for Problem Solving","University of Pennsylvania","BEGINNER"
"Solar Energy Basics","The State University of New York","BEGINNER"
"Introduction to Financial Engineering and Risk Management","Columbia University","INTERMEDIATE"
"Hands-on Internet of Things","University of Illinois Urbana-Champaign","INTERMEDIATE"
"Introduction to Computer Science and Programming","University of London","BEGINNER"
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)","Universitat Autònoma de Barcelona","BEGINNER"
"Sustainable Cities","Johns Hopkins University","INTERMEDIATE"
"GenAI for UX Designers","Coursera Instructor Network","BEGINNER"
"Patient Safety","Johns Hopkins University","BEGINNER"
"The Art of Filmmaking: Composition and Moving Image ","California Institute of the Arts","BEGINNER"
"Innovation Through Design: Think, Make, Break, Repeat","The University of Sydney","BEGINNER"
"Rédaction de contrats","University of Geneva","MIXED"
"Introduction to Certified Professional Biller","AAPC","BEGINNER"
"Science of Diet and Exercise","National Academy of Sports Medicine","INTERMEDIATE"
"IBM z/OS Mainframe Practitioner","IBM","INTERMEDIATE"
"Source Systems, Data Ingestion, and Pipelines","DeepLearning.AI","INTERMEDIATE"
"Teach English Now! Capstone Project 2","Arizona State University","BEGINNER"
"Data Visualization with Python","IBM","INTERMEDIATE"
"Microsoft Azure Developer Associate (AZ-204) Exam Prep","Microsoft","INTERMEDIATE"
"Children's Human Rights - An Interdisciplinary Introduction","University of Geneva","BEGINNER"
"Payroll & HR Management ","Tally Education and Distribution Services Private Limited","INTERMEDIATE"
"AutoCAD for beginners: Drafting blueprints and schematics","Coursera Project Network","BEGINNER"
"Integrative Nursing","University of Minnesota","BEGINNER"
"Introduction to Systems Engineering","UNSW Sydney (The University of New South Wales)","MIXED"
"BIM Fundamentals for Engineers","National Taiwan University","BEGINNER"
"Blood Film Morphology - A Practical Guide","University of Western Australia","INTERMEDIATE"
"CompTIA A+ Certification Core 1 (220-1101)","Packt","INTERMEDIATE"
"How to Start Your Own Business","Michigan State University","BEGINNER"
"Customer Analytics","University of Pennsylvania","MIXED"
"Leading Healthcare Quality and Safety","The George Washington University","BEGINNER"
"Effective Compliance Programs","University of Pennsylvania","MIXED"
"Introduction to Computers","Microsoft","BEGINNER"
"Developing APIs with Google Cloud's Apigee API Platform","Google Cloud","INTERMEDIATE"
"AI for Creative Work","University of Michigan","BEGINNER"
"Fractal Data Science","Fractal Analytics","BEGINNER"
"Algebra: Elementary to Advanced","Johns Hopkins University","BEGINNER"
"Design of Experiments","Arizona State University","BEGINNER"
"Introduction to Operations Management","University of Pennsylvania","BEGINNER"
"Critical Thinking: A Brain-Based Guide for the ChatGPT Era","Deep Teaching Solutions","BEGINNER"
"Classical Sociological Theory ","University of Amsterdam","MIXED"
"Excel Skills for Business: Advanced","Macquarie University","INTERMEDIATE"
"Sustainable Fashion","Copenhagen Business School","BEGINNER"
"PostgreSQL for Everybody","University of Michigan","INTERMEDIATE"
"Circular Economy - Sustainable Materials Management","Lund University","BEGINNER"
"Equine Welfare and Management","University of California, Davis","BEGINNER"
"Fundamentals of Social Media Advertising","Meta","BEGINNER"
"Fundamentos de Finanzas Empresariales ","Universidad de los Andes","BEGINNER"
"IIBA® Entry Certificate in Business Analysis™ (ECBA™) Exam Prep","Starweaver","BEGINNER"
"Strategy and Game Theory for Management","IIMA - IIM Ahmedabad","INTERMEDIATE"
"Teach English Now! Capstone Project 1","Arizona State University","MIXED"
"Reign of Pain","Michigan State University","MIXED"
"Introduction to Bioinformatics","Birla Institute of Technology & Science, Pilani","BEGINNER"
"Data Modeling in Power BI","Microsoft","BEGINNER"
"FinTech Law and Policy","Duke University","BEGINNER"
"Digitalisation in Aeronautics and Space","Technical University of Munich (TUM)","INTERMEDIATE"
"SHRM Certified Professional (SHRM-CP) Exam Prep","Board Infinity","INTERMEDIATE"
"Learn to Program: The Fundamentals","University of Toronto","BEGINNER"
"Innovation Management","Erasmus University Rotterdam","BEGINNER"
"Mastering DeepSeek.ai: From Fundamentals to Advanced Skills","Board Infinity","INTERMEDIATE"
"People Analytics","University of Pennsylvania","MIXED"
"Finanzas corporativas","Universidad Nacional Autónoma de México","INTERMEDIATE"
"Java FullStack Developer","Board Infinity","INTERMEDIATE"
"Introduction to Data Analytics","Meta","BEGINNER"
"Suicide Prevention","Wesleyan University","BEGINNER"
"The Power of Statistics","Google","ADVANCED"
"Chemical Hazards and Process Safety","University of California, Davis","ADVANCED"
"Sustainability Reporting: From Regulation to Implementation","University of Illinois Urbana-Champaign","INTERMEDIATE"
"Introduction to Good Clinical Practice","Novartis","BEGINNER"
"Market Research","University of California, Davis","BEGINNER"
"Medical Terminology and the Human Body Fundamentals","MedCerts","BEGINNER"
"Six Sigma Principles ","Kennesaw State University","BEGINNER"
"React Basics","Meta","BEGINNER"
"Learning How To Learn for Youth","Arizona State University","BEGINNER"
"Epidemiology: The Basic Science of Public Health","The University of North Carolina at Chapel Hill","MIXED"
"Change Management for Generative AI","Vanderbilt University","BEGINNER"
" Generative AI Content Creation","Adobe","MIXED"
"A Crash Course in Causality:  Inferring Causal Effects from Observational Data","University of Pennsylvania","INTERMEDIATE"
"Project Management: Tools, Approaches, Behavioural Skills","Politecnico di Milano","BEGINNER"
"ADHD: Everyday Strategies for Elementary Students","University at Buffalo","BEGINNER"
"Teach English Now! Second Language Reading, Writing, and Grammar ","Arizona State University","BEGINNER"
"Excel aplicado a los negocios (Nivel Avanzado)","Universidad Austral","INTERMEDIATE"
"Data Skills for Excel Professionals","Corporate Finance Institute","BEGINNER"
"International Business Essentials","University of London","INTERMEDIATE"
"Nutrition and Lifestyle in Pregnancy","Ludwig-Maximilians-Universität München (LMU)","INTERMEDIATE"
"Akamai Customer Consulting and Support","Akamai Technologies, Inc.","BEGINNER"
"Introduction to International Criminal Law","Case Western Reserve University","MIXED"
"AI in Sports: The Approach of a Club","Real Madrid Graduate School Universidad Europea","BEGINNER"
"KI für alle","DeepLearning.AI","BEGINNER"
"The Evolving Universe","Caltech","MIXED"
"Advanced Business Analytics","University of Colorado Boulder","INTERMEDIATE"
"International Marketing & Cross Industry Growth","Yonsei University","BEGINNER"
"Building Strategic Foresight Capabilities","EDHEC Business School","INTERMEDIATE"
"Leadership in 21st Century Organizations","Copenhagen Business School","MIXED"
"Introduction to Cybersecurity Careers","IBM","BEGINNER"
"Project Management: Foundations and Initiation","University of Colorado Boulder","BEGINNER"
"Fundamentals of Accounting","University of Illinois Urbana-Champaign","BEGINNER"
"Anatomy of the Chest, Neck, Abdomen, and Pelvis","Yale University","INTERMEDIATE"
"Reporting extra-financier et stratégie RSE","ESSEC Business School","BEGINNER"
"Liderazgo, Motivación y Gestión de Recursos Humanos","Universidad de Palermo","BEGINNER"
"Akamai Network Engineering","Akamai Technologies, Inc.","BEGINNER"
".NET FullStack Developer","Board Infinity","INTERMEDIATE"
"Generative AI for Marketers","Microsoft","BEGINNER"
"Introduction to the Pharmaceutical Industry","University of Glasgow","BEGINNER"
"The Engineering of Structures Around Us","Dartmouth College","BEGINNER"
"Introduction to Python for Researchers","Imperial College London","BEGINNER"
"Operations Research (1): Models and Applications","National Taiwan University","BEGINNER"
"Information​ ​Systems","University of Minnesota","BEGINNER"
"Semiconductor Devices","University of Colorado Boulder","ADVANCED"
"Managing AI Projects: From Strategy to Delivery","Johns Hopkins University","INTERMEDIATE"
"Advanced Financial Reporting: Accounting for Business Combinations and Preparation of Consolidated Financial Statements","University of Illinois Urbana-Champaign","ADVANCED"
"Strategic Sales Management","Fundação Instituto de Administração","INTERMEDIATE"
"Sales and CRM Overview","Salesforce","BEGINNER"
"Removing Barriers to Change","University of Pennsylvania","BEGINNER"
"Electric Industry Operations and Markets","Duke University","BEGINNER"
"Introduction to Industrial Bioprocess Development","Technical University of Denmark (DTU)","BEGINNER"
"Medical Billing and Coding Essentials","MedCerts","BEGINNER"
"Anxiety and Related Disorders","American Psychological Association","BEGINNER"
"Business Communication for the Modern Workplace","Coursera Instructor Network","INTERMEDIATE"
"Introduction to Systems Engineering","University of Colorado Boulder","BEGINNER"
"Mastering Program Management: Strategy to Certification","SkillUp","BEGINNER"
"The Science of Well-Being for Parents","Yale University","BEGINNER"
"Learning and Development","HRCI","BEGINNER"
"Model Context Protocol (MCP) Mastery","Fractal Analytics","INTERMEDIATE"
"Project Management Fundamentals","Microsoft","BEGINNER"
"Introduction to Cosmetic and Skincare Science","Olay","BEGINNER"
"RF and millimeter-Wave Circuit Design","Eindhoven University of Technology","INTERMEDIATE"
"Embedding Sensors and Motors","University of Colorado Boulder","INTERMEDIATE"
"Marchés financiers","Yale University","BEGINNER"
"C Programming with Linux","Dartmouth College","BEGINNER"
"International Business","University of Colorado Boulder","BEGINNER"
"Academic Skills for University Success","The University of Sydney","BEGINNER"
"Essentials of Global Health","Yale University","MIXED"
"Introduction to Trading, Machine Learning & GCP","Google Cloud","INTERMEDIATE"
"Análisis Financiero","Pontificia Universidad Católica de Chile","INTERMEDIATE"
"Getting Started as a Personal Fitness Trainer","National Academy of Sports Medicine","BEGINNER"
"Tally Bookkeeper","Tally Education and Distribution Services Private Limited","BEGINNER"
"Information Systems Auditing, Controls and Assurance","The Hong Kong University of Science and Technology","BEGINNER"
"Decisions, Decisions: Dashboards and Reports","Google","ADVANCED"
"Auditing II: The Practice of Auditing","University of Illinois Urbana-Champaign","INTERMEDIATE"
"Introducción a la inteligencia artificial","Universidad Nacional Autónoma de México","INTERMEDIATE"
"Collaborative Robotics in Industry","L&T EduTech","INTERMEDIATE"
"Supply Chain Excellence","Rutgers the State University of New Jersey","ADVANCED"
"Foundations for Assisting in Home Care","The State University of New York","MIXED"
"Teach English Now! Second Language Listening, Speaking, and Pronunciation","Arizona State University","BEGINNER"
"Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading","Georgia Institute of Technology","MIXED"
"Stories of Infection","Stanford University","INTERMEDIATE"
"Personal & Family Financial Planning","University of Florida","MIXED"
"Troubles du spectre de l'autisme : interventions","University of Geneva","INTERMEDIATE"
"Introduction to Business Management: Winning Internally","IIT Bombay","BEGINNER"
"Introdução à Ciência da Computação com Python Parte 1","Universidade de São Paulo","BEGINNER"
"DevOps Mastery","KodeKloud","BEGINNER"
"Introduction to Merchandising","Coursera Instructor Network","INTERMEDIATE"
"Health, Safety, and Environmental (HSE) Engineering","Khalifa University","BEGINNER"
"AI-Powered Software and System Design","DeepLearning.AI","BEGINNER"
"Survey Data Collection and Analytics","University of Maryland, College Park","BEGINNER"
"Security Principles","ISC2","BEGINNER"
"Whole genome sequencing of bacterial genomes - tools and applications","Technical University of Denmark (DTU)","BEGINNER"
"Modern Art & Ideas","The Museum of Modern Art","BEGINNER"
"Natural Language Processing with Probabilistic Models","DeepLearning.AI","INTERMEDIATE"
"Corporate & Commercial Law II: Business Forms, Financing & Governmental Regulation","University of Illinois Urbana-Champaign","INTERMEDIATE"
"Supply Chain Digitization: Strategy and Design","IIMA - IIM Ahmedabad","INTERMEDIATE"
"Introduction to Cyber Security","New York University","BEGINNER"
"Rocket Science for Everyone","Yale University","BEGINNER"
"Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course)","Hebrew University of Jerusalem","MIXED"
"Introduction to Logic","Stanford University","INTERMEDIATE"
"Large Language Model Operations (LLMOps)","Duke University","BEGINNER"
"Law, Governance, and Public Policy","O.P. Jindal Global University","BEGINNER"
"Intermediate Java Development: Spring, Databases, Deployment","SkillUp","BEGINNER"
"Medical Cannabis: The Health Effects of THC and CBD","University of Colorado Boulder","BEGINNER"
"TOGAF 10 Foundation","EDUCBA","BEGINNER"
"How to Write and Publish a Scientific Paper (Project-Centered Course)","École Polytechnique","MIXED"
"Introduction to Probability and Data with R","Duke University","BEGINNER"
"Inteligencia Artificial Aplicada al Derecho","Universidad de Palermo","BEGINNER"
"AI Innovation & Product Strategy","Starweaver","INTERMEDIATE"
"Big Data","University of California San Diego","BEGINNER"
"Advanced React","Meta","INTERMEDIATE"
"Sustainability Consulting","University of Illinois Urbana-Champaign","BEGINNER"
"Mentaliser : de la théorie à l’intervention clinique","University of Geneva","BEGINNER"
"Sleep: Neurobiology, Medicine, and Society","University of Michigan","BEGINNER"
"Foundations of Business Analysis","SAP","BEGINNER"
"Drug Discovery ","University of California San Diego","BEGINNER"
"Market Research","Queen Mary University of London","BEGINNER"
"Systems Thinking In Public Health","Johns Hopkins University","MIXED"
"Foundations of Public Health Practice","Imperial College London","BEGINNER"
"3D CAD Fundamental","National Taiwan University","BEGINNER"
"Français Débutant A1","Università di Napoli Federico II","BEGINNER"
"Using Databases with Python","University of Michigan","BEGINNER"
"Fundamentos Empresariales","University of Pennsylvania","BEGINNER"
"Chip based VLSI design for Industrial Applications","L&T EduTech","INTERMEDIATE"
"Introduction to OSHA: Safety Standards and Compliance","Coursera Instructor Network","INTERMEDIATE"
"Certified Associate in Project Management (CAPM)® Exam","Pearson","BEGINNER"
"El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho","Universidad Austral","BEGINNER"
"Medical Terminology II","Rice University","BEGINNER"
"Precision Medicine","University of Geneva","INTERMEDIATE"
"Web Applications for Everybody","University of Michigan","INTERMEDIATE"
"Diversity and Inclusion in Education","University of Glasgow","INTERMEDIATE"
"Sports and Society","Duke University","MIXED"
"Moralities of Everyday Life","Yale University","MIXED"
"Ecology: Ecosystem Dynamics and Conservation","American Museum of Natural History","INTERMEDIATE"
"Core Java","LearnQuest","INTERMEDIATE"
"Databases for Data Scientists","University of Colorado Boulder","BEGINNER"
"Mercados financieros","Yale University","BEGINNER"
"Corporate Sustainability. Understanding and Seizing the Strategic Opportunity ","Università Bocconi","MIXED"
"Antimicrobial resistance - theory and methods","Technical University of Denmark (DTU)","INTERMEDIATE"
"Introduction to Agile Development and Scrum","IBM","BEGINNER"
"BI Essentials for Finance Analysts (Tableau Edition)","Corporate Finance Institute","BEGINNER"
"Architecting with Google Kubernetes Engine","Google Cloud","BEGINNER"
