Category,Institution,Course,Fees,Type,Location
Medical,"Aligarh Unani Medical College and ACN Hospital, Aligarh","Not Available","Ownership: Private Aligarh, Uttar Pradesh Aligarh Unani Medical College and ACN Hospital, Aligarh Ownership: Private Aligarh, Uttar Pradesh BUMS Exams: NEET Fees : ₹9.38 Lakhs Courses Brochure Enquire Compare Courses 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Ownership: Private Aligarh, Uttar Pradesh Aligarh Unani Medical College and ACN Hospital, Aligarh Ownership: Private Aligarh, Uttar Pradesh BUMS Exams: NEET Fees : ₹9.38 Lakhs Courses Brochure Enquire Compare Courses 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Not Available"
Medical,"Aligarh Unani Medical College and ACN Hospital, Aligarh","Not Available","Ownership: Private Aligarh, Uttar Pradesh Aligarh Unani Medical College and ACN Hospital, Aligarh Ownership: Private Aligarh, Uttar Pradesh BUMS Exams: NEET Fees : ₹9.38 Lakhs Courses Brochure Enquire Compare","Ownership: Private Aligarh, Uttar Pradesh Aligarh Unani Medical College and ACN Hospital, Aligarh Ownership: Private Aligarh, Uttar Pradesh BUMS Exams: NEET Fees : ₹9.38 Lakhs Courses Brochure Enquire Compare","Not Available"
Medical,"AUAMC Aligarh - Aligarh Unani PG and Ayurvedic Medical College, Aligarh","Not Available","Ownership: Private Aligarh, Uttar Pradesh AUAMC Aligarh - Aligarh Unani PG and Ayurvedic Medical College, Aligarh Ownership: Private Aligarh, Uttar Pradesh BUMS Exams: NEET Fees : ₹9.98 Lakhs Admissions Courses Facilities QnA Brochure Enquire Compare Admissions Courses Facilities QnA 1000+ Brochures downloaded so far 1000+ Brochures downloaded so far","Ownership: Private Aligarh, Uttar Pradesh AUAMC Aligarh - Aligarh Unani PG and Ayurvedic Medical College, Aligarh Ownership: Private Aligarh, Uttar Pradesh BUMS Exams: NEET Fees : ₹9.98 Lakhs Admissions Courses Facilities QnA Brochure Enquire Compare Admissions Courses Facilities QnA 1000+ Brochures downloaded so far 1000+ Brochures downloaded so far","Not Available"
Medical,"AUAMC Aligarh - Aligarh Unani PG and Ayurvedic Medical College, Aligarh","Not Available","Ownership: Private Aligarh, Uttar Pradesh AUAMC Aligarh - Aligarh Unani PG and Ayurvedic Medical College, Aligarh Ownership: Private Aligarh, Uttar Pradesh BUMS Exams: NEET Fees : ₹9.98 Lakhs Admissions Courses Facilities QnA Brochure Enquire Compare","Ownership: Private Aligarh, Uttar Pradesh AUAMC Aligarh - Aligarh Unani PG and Ayurvedic Medical College, Aligarh Ownership: Private Aligarh, Uttar Pradesh BUMS Exams: NEET Fees : ₹9.98 Lakhs Admissions Courses Facilities QnA Brochure Enquire Compare","Not Available"
Medical,"Ali Yavar Jung National Institute of Speech and Hearing Disabilities Divyangjan, Mumbai","Not Available","Ownership: Public/Govt Mumbai, Maharashtra Rating: 5.0/51 Reviews Ali Yavar Jung National Institute of Speech and Hearing Disabilities Divyangjan, Mumbai Ownership: Public/Govt Mumbai, Maharashtra Rating: 5.0/51 Reviews BASLP Fees : ₹1.14 Lakhs Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 300+ Brochures downloaded so far 300+ Brochures downloaded so far","Ownership: Public/Govt Mumbai, Maharashtra Rating: 5.0/51 Reviews Ali Yavar Jung National Institute of Speech and Hearing Disabilities Divyangjan, Mumbai Ownership: Public/Govt Mumbai, Maharashtra Rating: 5.0/51 Reviews BASLP Fees : ₹1.14 Lakhs Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 300+ Brochures downloaded so far 300+ Brochures downloaded so far","Ownership: Public/Govt Mumbai, Maharashtra Rating: 5.0/51 Reviews Ali Yavar Jung National Institute of Speech and Hearing Disabilities Divyangjan, Mumbai Ownership: Public/Govt Mumbai, Maharashtra Rating: 5.0/51 Reviews BASLP Fees : ₹1.14 Lakhs Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 300+ Brochures downloaded so far 300+ Brochures downloaded so far"
Medical,"Ali Yavar Jung National Institute of Speech and Hearing Disabilities Divyangjan, Mumbai","Not Available","Ownership: Public/Govt Mumbai, Maharashtra Rating: 5.0/51 Reviews Ali Yavar Jung National Institute of Speech and Hearing Disabilities Divyangjan, Mumbai Ownership: Public/Govt Mumbai, Maharashtra Rating: 5.0/51 Reviews BASLP Fees : ₹1.14 Lakhs Admissions Courses Facilities Brochure Enquire Compare","Ownership: Public/Govt Mumbai, Maharashtra Rating: 5.0/51 Reviews Ali Yavar Jung National Institute of Speech and Hearing Disabilities Divyangjan, Mumbai Ownership: Public/Govt Mumbai, Maharashtra Rating: 5.0/51 Reviews BASLP Fees : ₹1.14 Lakhs Admissions Courses Facilities Brochure Enquire Compare","Ownership: Public/Govt Mumbai, Maharashtra Rating: 5.0/51 Reviews Ali Yavar Jung National Institute of Speech and Hearing Disabilities Divyangjan, Mumbai Ownership: Public/Govt Mumbai, Maharashtra Rating: 5.0/51 Reviews BASLP Fees : ₹1.14 Lakhs Admissions Courses Facilities Brochure Enquire Compare"
Medical,"Ali Yavar Jung National Institute of Speech and Hearing Disabilities Divyangjan, Secunderabad","Not Available","Ownership: Public/Govt Secunderabad, Telangana Ali Yavar Jung National Institute of Speech and Hearing Disabilities Divyangjan, Secunderabad Ownership: Public/Govt Secunderabad, Telangana B.ASLP Fees : ₹1.40 Lakhs Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Ownership: Public/Govt Secunderabad, Telangana Ali Yavar Jung National Institute of Speech and Hearing Disabilities Divyangjan, Secunderabad Ownership: Public/Govt Secunderabad, Telangana B.ASLP Fees : ₹1.40 Lakhs Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Not Available"
Medical,"Ali Yavar Jung National Institute of Speech and Hearing Disabilities Divyangjan, Secunderabad","Not Available","Ownership: Public/Govt Secunderabad, Telangana Ali Yavar Jung National Institute of Speech and Hearing Disabilities Divyangjan, Secunderabad Ownership: Public/Govt Secunderabad, Telangana B.ASLP Fees : ₹1.40 Lakhs Admissions Courses Facilities Brochure Enquire Compare","Ownership: Public/Govt Secunderabad, Telangana Ali Yavar Jung National Institute of Speech and Hearing Disabilities Divyangjan, Secunderabad Ownership: Public/Govt Secunderabad, Telangana B.ASLP Fees : ₹1.40 Lakhs Admissions Courses Facilities Brochure Enquire Compare","Not Available"
Medical,"Ali Yavar Jung National Institute of Speech and Hearing Disabilities, Kolkata","Not Available","Not Available","Ownership: Public/Govt Kolkata, West Bengal Ali Yavar Jung National Institute of Speech and Hearing Disabilities, Kolkata Ownership: Public/Govt Kolkata, West Bengal B.Ed Special Education Hearing Impairment ODL Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Not Available"
Medical,"Ali Yavar Jung National Institute of Speech and Hearing Disabilities, Kolkata","Not Available","Not Available","Ownership: Public/Govt Kolkata, West Bengal Ali Yavar Jung National Institute of Speech and Hearing Disabilities, Kolkata Ownership: Public/Govt Kolkata, West Bengal B.Ed Special Education Hearing Impairment ODL Admissions Courses Facilities Brochure Enquire Compare","Not Available"
Medical,"Al Kareem College of Nursing, Gulbarga","Not Available","Not Available","Ownership: Private Kalaburagi, Karnataka Al Kareem College of Nursing, Gulbarga Ownership: Private Kalaburagi, Karnataka GNM Admissions Courses Facilities QnA Brochure Enquire Compare Admissions Courses Facilities QnA 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Not Available"
Medical,"Al Kareem College of Nursing, Gulbarga","Not Available","Not Available","Ownership: Private Kalaburagi, Karnataka Al Kareem College of Nursing, Gulbarga Ownership: Private Kalaburagi, Karnataka GNM Admissions Courses Facilities QnA Brochure Enquire Compare","Not Available"
Medical,"Al-Karim University, Katihar","Not Available","Not Available","Ownership: Private Katihar, Bihar Al-Karim University, Katihar Ownership: Private Katihar, Bihar MBBS Exams: NEET M.D. (13 Courses) Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 300+ Brochures downloaded so far 300+ Brochures downloaded so far","Not Available"
Medical,"Al-Karim University, Katihar","Not Available","Not Available","Ownership: Private Katihar, Bihar Al-Karim University, Katihar Ownership: Private Katihar, Bihar MBBS Exams: NEET M.D. (13 Courses) Admissions Courses Facilities Brochure Enquire Compare","Not Available"
Medical,"Allama Iqbal Unani Medical College, Muzaffarnagar","Not Available","Not Available","Ownership: Private Muzaffarnagar, Uttar Pradesh Allama Iqbal Unani Medical College, Muzaffarnagar Ownership: Private Muzaffarnagar, Uttar Pradesh BUMS M.D. (2 Courses) Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 300+ Brochures downloaded so far 300+ Brochures downloaded so far","Not Available"
Medical,"Allama Iqbal Unani Medical College, Muzaffarnagar","Not Available","Not Available","Ownership: Private Muzaffarnagar, Uttar Pradesh Allama Iqbal Unani Medical College, Muzaffarnagar Ownership: Private Muzaffarnagar, Uttar Pradesh BUMS M.D. (2 Courses) Admissions Courses Facilities Brochure Enquire Compare","Not Available"
Medical,"All India Institute of Ayurveda, New Delhi","Not Available","Not Available","Ownership: Public/Govt New Delhi, Delhi All India Institute of Ayurveda, New Delhi Ownership: Public/Govt New Delhi, Delhi MD Kayachikitsa Exams: AIAPGET Admissions Placements Courses Facilities Brochure Enquire Compare Admissions Placements Courses Facilities 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Ownership: Public/Govt New Delhi, Delhi All India Institute of Ayurveda, New Delhi Ownership: Public/Govt New Delhi, Delhi MD Kayachikitsa Exams: AIAPGET Admissions Placements Courses Facilities Brochure Enquire Compare Admissions Placements Courses Facilities 100+ Brochures downloaded so far 100+ Brochures downloaded so far"
Medical,"All India Institute of Ayurveda, New Delhi","Not Available","Not Available","Ownership: Public/Govt New Delhi, Delhi All India Institute of Ayurveda, New Delhi Ownership: Public/Govt New Delhi, Delhi MD Kayachikitsa Exams: AIAPGET Admissions Placements Courses Facilities Brochure Enquire Compare","Ownership: Public/Govt New Delhi, Delhi All India Institute of Ayurveda, New Delhi Ownership: Public/Govt New Delhi, Delhi MD Kayachikitsa Exams: AIAPGET Admissions Placements Courses Facilities Brochure Enquire Compare"
Medical,"All India Institute of Hygiene and Public Health, Kolkata","Not Available","Not Available","Ownership: Public/Govt Kolkata, West Bengal All India Institute of Hygiene and Public Health, Kolkata Ownership: Public/Govt Kolkata, West Bengal Diploma in Health Promotion and Education Diploma (1 Course) Admissions Courses Facilities QnA Brochure Enquire Compare Admissions Courses Facilities QnA 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Not Available"
Medical,"All India Institute of Hygiene and Public Health, Kolkata","Not Available","Not Available","Ownership: Public/Govt Kolkata, West Bengal All India Institute of Hygiene and Public Health, Kolkata Ownership: Public/Govt Kolkata, West Bengal Diploma in Health Promotion and Education Diploma (1 Course) Admissions Courses Facilities QnA Brochure Enquire Compare","Not Available"
Medical,"All India Institute of Local Self Government, Ahmedabad","Not Available","Not Available","Ownership: Private Ahmedabad, Gujarat All India Institute of Local Self Government, Ahmedabad Ownership: Private Ahmedabad, Gujarat Diploma in Sanitary Inspectors Admissions Placements Courses Facilities Brochure Enquire Compare Admissions Placements Courses Facilities 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Not Available"
Medical,"All India Institute of Local Self Government, Ahmedabad","Not Available","Not Available","Ownership: Private Ahmedabad, Gujarat All India Institute of Local Self Government, Ahmedabad Ownership: Private Ahmedabad, Gujarat Diploma in Sanitary Inspectors Admissions Placements Courses Facilities Brochure Enquire Compare","Not Available"
Medical,"AIILSG Surat - All India Institute of Local Self Government, Surat","Not Available","Not Available","Ownership: Public/Govt Surat, Gujarat AIILSG Surat - All India Institute of Local Self Government, Surat Ownership: Public/Govt Surat, Gujarat Diploma in Sanitary Inspectors Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Not Available"
Medical,"AIILSG Surat - All India Institute of Local Self Government, Surat","Not Available","Not Available","Ownership: Public/Govt Surat, Gujarat AIILSG Surat - All India Institute of Local Self Government, Surat Ownership: Public/Govt Surat, Gujarat Diploma in Sanitary Inspectors Admissions Courses Facilities Brochure Enquire Compare","Not Available"
Medical,"AIIMS Bathinda - All India Institute of Medical Sciences Bathinda","Not Available","Ownership: Public/Govt Bathinda, Punjab AIIMS Bathinda - All India Institute of Medical Sciences Bathinda Ownership: Public/Govt Bathinda, Punjab MBBS Exams: NEET Fees : ₹6.79 K Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Ownership: Public/Govt Bathinda, Punjab AIIMS Bathinda - All India Institute of Medical Sciences Bathinda Ownership: Public/Govt Bathinda, Punjab MBBS Exams: NEET Fees : ₹6.79 K Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Not Available"
Medical,"AIIMS Bathinda - All India Institute of Medical Sciences Bathinda","Not Available","Ownership: Public/Govt Bathinda, Punjab AIIMS Bathinda - All India Institute of Medical Sciences Bathinda Ownership: Public/Govt Bathinda, Punjab MBBS Exams: NEET Fees : ₹6.79 K Admissions Courses Facilities Brochure Enquire Compare","Ownership: Public/Govt Bathinda, Punjab AIIMS Bathinda - All India Institute of Medical Sciences Bathinda Ownership: Public/Govt Bathinda, Punjab MBBS Exams: NEET Fees : ₹6.79 K Admissions Courses Facilities Brochure Enquire Compare","Not Available"
Medical,"AIIMS Bhopal - All India Institute of Medical Sciences Bhopal","Not Available","Ownership: Public/Govt Bhopal, Madhya Pradesh Rating: 5.0/52 Reviews AIIMS Bhopal - All India Institute of Medical Sciences Bhopal Ownership: Public/Govt Bhopal, Madhya Pradesh Rating: 5.0/52 Reviews NIRF Ranking: 25 Careers360 Ranking : 9 NIRF Ranking: 25 Careers360 Ranking : 9 MBBS Exams: NEET Fees : ₹6.79 K M.D. (21 Courses) Admissions Placements Courses Facilities QnA Brochure Enquire Compare Admissions Placements Courses Facilities QnA 300+ Brochures downloaded so far 300+ Brochures downloaded so far","Ownership: Public/Govt Bhopal, Madhya Pradesh Rating: 5.0/52 Reviews AIIMS Bhopal - All India Institute of Medical Sciences Bhopal Ownership: Public/Govt Bhopal, Madhya Pradesh Rating: 5.0/52 Reviews NIRF Ranking: 25 Careers360 Ranking : 9 NIRF Ranking: 25 Careers360 Ranking : 9 MBBS Exams: NEET Fees : ₹6.79 K M.D. (21 Courses) Admissions Placements Courses Facilities QnA Brochure Enquire Compare Admissions Placements Courses Facilities QnA 300+ Brochures downloaded so far 300+ Brochures downloaded so far","Not Available"
Medical,"AIIMS Bhopal - All India Institute of Medical Sciences Bhopal","Not Available","Ownership: Public/Govt Bhopal, Madhya Pradesh Rating: 5.0/52 Reviews AIIMS Bhopal - All India Institute of Medical Sciences Bhopal Ownership: Public/Govt Bhopal, Madhya Pradesh Rating: 5.0/52 Reviews NIRF Ranking: 25 Careers360 Ranking : 9 NIRF Ranking: 25 Careers360 Ranking : 9 MBBS Exams: NEET Fees : ₹6.79 K M.D. (21 Courses) Admissions Placements Courses Facilities QnA Brochure Enquire Compare","Ownership: Public/Govt Bhopal, Madhya Pradesh Rating: 5.0/52 Reviews AIIMS Bhopal - All India Institute of Medical Sciences Bhopal Ownership: Public/Govt Bhopal, Madhya Pradesh Rating: 5.0/52 Reviews NIRF Ranking: 25 Careers360 Ranking : 9 NIRF Ranking: 25 Careers360 Ranking : 9 MBBS Exams: NEET Fees : ₹6.79 K M.D. (21 Courses) Admissions Placements Courses Facilities QnA Brochure Enquire Compare","Not Available"
Medical,"AIIMS Bhubaneswar - All India Institute of Medical Sciences Bhubaneswar","Not Available","Ownership: Public/Govt Bhubaneshwar, Odisha Rating: 4.7/513 Reviews AIIMS Bhubaneswar - All India Institute of Medical Sciences Bhubaneswar Ownership: Public/Govt Bhubaneshwar, Odisha Rating: 4.7/513 Reviews NIRF Ranking: 14 Careers360 Ranking : 4 NIRF Ranking: 14 Careers360 Ranking : 4 MBBS Exams: NEET Fees : ₹6.79 K M.D. (20 Courses) Admissions Placements Courses Facilities QnA Brochure Enquire Compare Admissions Placements Courses Facilities QnA 300+ Brochures downloaded so far 300+ Brochures downloaded so far","Ownership: Public/Govt Bhubaneshwar, Odisha Rating: 4.7/513 Reviews AIIMS Bhubaneswar - All India Institute of Medical Sciences Bhubaneswar Ownership: Public/Govt Bhubaneshwar, Odisha Rating: 4.7/513 Reviews NIRF Ranking: 14 Careers360 Ranking : 4 NIRF Ranking: 14 Careers360 Ranking : 4 MBBS Exams: NEET Fees : ₹6.79 K M.D. (20 Courses) Admissions Placements Courses Facilities QnA Brochure Enquire Compare Admissions Placements Courses Facilities QnA 300+ Brochures downloaded so far 300+ Brochures downloaded so far","Not Available"
Medical,"AIIMS Bhubaneswar - All India Institute of Medical Sciences Bhubaneswar","Not Available","Ownership: Public/Govt Bhubaneshwar, Odisha Rating: 4.7/513 Reviews AIIMS Bhubaneswar - All India Institute of Medical Sciences Bhubaneswar Ownership: Public/Govt Bhubaneshwar, Odisha Rating: 4.7/513 Reviews NIRF Ranking: 14 Careers360 Ranking : 4 NIRF Ranking: 14 Careers360 Ranking : 4 MBBS Exams: NEET Fees : ₹6.79 K M.D. (20 Courses) Admissions Placements Courses Facilities QnA Brochure Enquire Compare","Ownership: Public/Govt Bhubaneshwar, Odisha Rating: 4.7/513 Reviews AIIMS Bhubaneswar - All India Institute of Medical Sciences Bhubaneswar Ownership: Public/Govt Bhubaneshwar, Odisha Rating: 4.7/513 Reviews NIRF Ranking: 14 Careers360 Ranking : 4 NIRF Ranking: 14 Careers360 Ranking : 4 MBBS Exams: NEET Fees : ₹6.79 K M.D. (20 Courses) Admissions Placements Courses Facilities QnA Brochure Enquire Compare","Not Available"
Medical,"AIIMS Bibinagar - All India Institute of Medical Sciences Bibinagar","Not Available","Ownership: Public/Govt Hyderabad, Telangana AIIMS Bibinagar - All India Institute of Medical Sciences Bibinagar Ownership: Public/Govt Hyderabad, Telangana MBBS Exams: NEET Fees : ₹6.79 K Admissions Courses Facilities QnA Brochure Enquire Compare Admissions Courses Facilities QnA 300+ Brochures downloaded so far 300+ Brochures downloaded so far","Ownership: Public/Govt Hyderabad, Telangana AIIMS Bibinagar - All India Institute of Medical Sciences Bibinagar Ownership: Public/Govt Hyderabad, Telangana MBBS Exams: NEET Fees : ₹6.79 K Admissions Courses Facilities QnA Brochure Enquire Compare Admissions Courses Facilities QnA 300+ Brochures downloaded so far 300+ Brochures downloaded so far","Not Available"
Medical,"AIIMS Bibinagar - All India Institute of Medical Sciences Bibinagar","Not Available","Ownership: Public/Govt Hyderabad, Telangana AIIMS Bibinagar - All India Institute of Medical Sciences Bibinagar Ownership: Public/Govt Hyderabad, Telangana MBBS Exams: NEET Fees : ₹6.79 K Admissions Courses Facilities QnA Brochure Enquire Compare","Ownership: Public/Govt Hyderabad, Telangana AIIMS Bibinagar - All India Institute of Medical Sciences Bibinagar Ownership: Public/Govt Hyderabad, Telangana MBBS Exams: NEET Fees : ₹6.79 K Admissions Courses Facilities QnA Brochure Enquire Compare","Not Available"
Medical,"AIIMS Bilaspur - All India Institute of Medical Sciences Bilaspur","Not Available","Not Available","Ownership: Public/Govt Bilaspur, Himachal Pradesh AIIMS Bilaspur - All India Institute of Medical Sciences Bilaspur Ownership: Public/Govt Bilaspur, Himachal Pradesh MBBS Exams: NEET Admissions Placements Courses Facilities Brochure Enquire Compare Admissions Placements Courses Facilities 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Not Available"
Medical,"AIIMS Bilaspur - All India Institute of Medical Sciences Bilaspur","Not Available","Not Available","Ownership: Public/Govt Bilaspur, Himachal Pradesh AIIMS Bilaspur - All India Institute of Medical Sciences Bilaspur Ownership: Public/Govt Bilaspur, Himachal Pradesh MBBS Exams: NEET Admissions Placements Courses Facilities Brochure Enquire Compare","Not Available"
Medical,"AIIMS Deoghar - All India Institute of Medical Sciences Deoghar","Not Available","Ownership: Public/Govt Deoghar, Jharkhand Rating: 5.0/51 Reviews AIIMS Deoghar - All India Institute of Medical Sciences Deoghar Ownership: Public/Govt Deoghar, Jharkhand Rating: 5.0/51 Reviews Careers360 Ranking : 63 Careers360 Ranking : 63 MBBS Exams: NEET Fees : ₹6.79 K Admissions Courses Facilities QnA Brochure Enquire Compare Admissions Courses Facilities QnA 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Ownership: Public/Govt Deoghar, Jharkhand Rating: 5.0/51 Reviews AIIMS Deoghar - All India Institute of Medical Sciences Deoghar Ownership: Public/Govt Deoghar, Jharkhand Rating: 5.0/51 Reviews Careers360 Ranking : 63 Careers360 Ranking : 63 MBBS Exams: NEET Fees : ₹6.79 K Admissions Courses Facilities QnA Brochure Enquire Compare Admissions Courses Facilities QnA 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Not Available"
Medical,"AIIMS Deoghar - All India Institute of Medical Sciences Deoghar","Not Available","Ownership: Public/Govt Deoghar, Jharkhand Rating: 5.0/51 Reviews AIIMS Deoghar - All India Institute of Medical Sciences Deoghar Ownership: Public/Govt Deoghar, Jharkhand Rating: 5.0/51 Reviews Careers360 Ranking : 63 Careers360 Ranking : 63 MBBS Exams: NEET Fees : ₹6.79 K Admissions Courses Facilities QnA Brochure Enquire Compare","Ownership: Public/Govt Deoghar, Jharkhand Rating: 5.0/51 Reviews AIIMS Deoghar - All India Institute of Medical Sciences Deoghar Ownership: Public/Govt Deoghar, Jharkhand Rating: 5.0/51 Reviews Careers360 Ranking : 63 Careers360 Ranking : 63 MBBS Exams: NEET Fees : ₹6.79 K Admissions Courses Facilities QnA Brochure Enquire Compare","Not Available"
Medical,"AIIMS Gorakhpur - All India Institute of Medical Sciences Gorakhpur","Not Available","Ownership: Public/Govt Gorakhpur, Uttar Pradesh AIIMS Gorakhpur - All India Institute of Medical Sciences Gorakhpur Ownership: Public/Govt Gorakhpur, Uttar Pradesh MBBS Exams: NEET Fees : ₹6.79 K Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 300+ Brochures downloaded so far 300+ Brochures downloaded so far","Ownership: Public/Govt Gorakhpur, Uttar Pradesh AIIMS Gorakhpur - All India Institute of Medical Sciences Gorakhpur Ownership: Public/Govt Gorakhpur, Uttar Pradesh MBBS Exams: NEET Fees : ₹6.79 K Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 300+ Brochures downloaded so far 300+ Brochures downloaded so far","Not Available"
Medical,"AIIMS Gorakhpur - All India Institute of Medical Sciences Gorakhpur","Not Available","Ownership: Public/Govt Gorakhpur, Uttar Pradesh AIIMS Gorakhpur - All India Institute of Medical Sciences Gorakhpur Ownership: Public/Govt Gorakhpur, Uttar Pradesh MBBS Exams: NEET Fees : ₹6.79 K Admissions Courses Facilities Brochure Enquire Compare","Ownership: Public/Govt Gorakhpur, Uttar Pradesh AIIMS Gorakhpur - All India Institute of Medical Sciences Gorakhpur Ownership: Public/Govt Gorakhpur, Uttar Pradesh MBBS Exams: NEET Fees : ₹6.79 K Admissions Courses Facilities Brochure Enquire Compare","Not Available"
Medical,"AIIMS Guwahati - All India Institute of Medical Sciences Guwahati","Not Available","Not Available","Ownership: Public/Govt Guwahati, Assam AIIMS Guwahati - All India Institute of Medical Sciences Guwahati Ownership: Public/Govt Guwahati, Assam MBBS Exams: NEET Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 300+ Brochures downloaded so far 300+ Brochures downloaded so far","Not Available"
Medical,"AIIMS Guwahati - All India Institute of Medical Sciences Guwahati","Not Available","Not Available","Ownership: Public/Govt Guwahati, Assam AIIMS Guwahati - All India Institute of Medical Sciences Guwahati Ownership: Public/Govt Guwahati, Assam MBBS Exams: NEET Admissions Courses Facilities Brochure Enquire Compare","Not Available"
Medical,"AIIMS Jammu - All India Institute of Medical Sciences Jammu","Not Available","Not Available","Ownership: Public/Govt Vijaypur, Jammu and Kashmir AIIMS Jammu - All India Institute of Medical Sciences Jammu Ownership: Public/Govt Vijaypur, Jammu and Kashmir MBBS Exams: NEET Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Not Available"
Medical,"AIIMS Jammu - All India Institute of Medical Sciences Jammu","Not Available","Not Available","Ownership: Public/Govt Vijaypur, Jammu and Kashmir AIIMS Jammu - All India Institute of Medical Sciences Jammu Ownership: Public/Govt Vijaypur, Jammu and Kashmir MBBS Exams: NEET Admissions Courses Facilities Brochure Enquire Compare","Not Available"
Medical,"AIIMS Jodhpur - All India Institute of Medical Sciences Jodhpur","Not Available","Ownership: Public/Govt Jodhpur, Rajasthan Rating: 4.6/54 Reviews AIIMS Jodhpur - All India Institute of Medical Sciences Jodhpur Ownership: Public/Govt Jodhpur, Rajasthan Rating: 4.6/54 Reviews NIRF Ranking: 19 Careers360 Ranking : 6 NIRF Ranking: 19 Careers360 Ranking : 6 MBBS Exams: NEET Fees : ₹6.79 K M.D. (21 Courses) Admissions Placements Courses Facilities QnA Brochure Enquire Compare Admissions Placements Courses Facilities QnA 600+ Brochures downloaded so far 600+ Brochures downloaded so far","Ownership: Public/Govt Jodhpur, Rajasthan Rating: 4.6/54 Reviews AIIMS Jodhpur - All India Institute of Medical Sciences Jodhpur Ownership: Public/Govt Jodhpur, Rajasthan Rating: 4.6/54 Reviews NIRF Ranking: 19 Careers360 Ranking : 6 NIRF Ranking: 19 Careers360 Ranking : 6 MBBS Exams: NEET Fees : ₹6.79 K M.D. (21 Courses) Admissions Placements Courses Facilities QnA Brochure Enquire Compare Admissions Placements Courses Facilities QnA 600+ Brochures downloaded so far 600+ Brochures downloaded so far","Not Available"
Medical,"AIIMS Jodhpur - All India Institute of Medical Sciences Jodhpur","Not Available","Ownership: Public/Govt Jodhpur, Rajasthan Rating: 4.6/54 Reviews AIIMS Jodhpur - All India Institute of Medical Sciences Jodhpur Ownership: Public/Govt Jodhpur, Rajasthan Rating: 4.6/54 Reviews NIRF Ranking: 19 Careers360 Ranking : 6 NIRF Ranking: 19 Careers360 Ranking : 6 MBBS Exams: NEET Fees : ₹6.79 K M.D. (21 Courses) Admissions Placements Courses Facilities QnA Brochure Enquire Compare","Ownership: Public/Govt Jodhpur, Rajasthan Rating: 4.6/54 Reviews AIIMS Jodhpur - All India Institute of Medical Sciences Jodhpur Ownership: Public/Govt Jodhpur, Rajasthan Rating: 4.6/54 Reviews NIRF Ranking: 19 Careers360 Ranking : 6 NIRF Ranking: 19 Careers360 Ranking : 6 MBBS Exams: NEET Fees : ₹6.79 K M.D. (21 Courses) Admissions Placements Courses Facilities QnA Brochure Enquire Compare","Not Available"
Medical,"AIIMS Kalyani - All India Institute of Medical Sciences Kalyani","Not Available","Ownership: Public/Govt Kalyani, West Bengal Rating: 5.0/51 Reviews AIIMS Kalyani - All India Institute of Medical Sciences Kalyani Ownership: Public/Govt Kalyani, West Bengal Rating: 5.0/51 Reviews MBBS Exams: NEET Fees : ₹9.50 K Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Ownership: Public/Govt Kalyani, West Bengal Rating: 5.0/51 Reviews AIIMS Kalyani - All India Institute of Medical Sciences Kalyani Ownership: Public/Govt Kalyani, West Bengal Rating: 5.0/51 Reviews MBBS Exams: NEET Fees : ₹9.50 K Admissions Courses Facilities Brochure Enquire Compare Admissions Courses Facilities 100+ Brochures downloaded so far 100+ Brochures downloaded so far","Not Available"
